Unnamed: 0,City,Price,Title,bedroom,ft
695,berlinnh,850,"2/1 on 1st floor available jan 1, 2019",2,950
696,"lewiston,me",1500,"||:|:: lewiston, me 2 bed | 1 bath home for rent ::|:||",2,2450
697,lebanon,2000,"business center, refrigerator with ice maker, fitness center, storage",2,999
698,salem-you'lllovelivinghere!,1770,salem - brand new  gorgeous balcony -pool -gym -clubhouse -pet spa,1,
699,"eastridgedrive,milford",1689,2 bedroom apartment - ready for occupancy soon,2,964
700,"86unionstreet,manchester",1559,great townhomes at great prices,2,1200
701,theresidencesatsundial,1705,only 2 bedroom coming available - perfect location,2,922
702,"90powersstreet,milford",1189,milford trails - you know you want to,1,650
703,concord,995,"large 2 bedroom on prescott street, concord, nh",2,
704,concord,995,spacious 2br apartments,2,
705,"10sentinelcourt,manchesternh",1349,moving we have a 2 br/2ba w/ $750 off 1st month's rent,2,853
706,"eastridgedrive,milford",2199,pretty milford townhome - patio for relaxing new construction,3,1885
707,tilton,900,commercial rental space,,
708,concord,995,now renting for mid december openings,2,
709,"64merrimackstreet,manchester",849,beautiful top floor apartment available now all utilities included,273ft2,
710,"20sentinelct,manchester",1329,take $750 off--handicapped accessible-- large 2 br/2ba w/private w/d,2,861
711,concord,995,accepting applications for upcoming openings in december 2018,2,
712,"4martinst,derrynh",1029,wow-- lg 1 br in derry---free hw  non-smoking property,2,576
713,"80easternavenue,manchester",1299,start living at sunset ridge apartment homes today,2,833
714,"baxterlake,rochester",1300,"lake rentals $1-2k , near rochester-dover-portsmouth-kittery",3,
715,"easterntrails,milford-nearnashua",1169,reserve now for the new year------ 1 br in milford  no sec dep,1,600
716,"27eastridgedr,milford",2199,3 br townhouse- pet friendly with washer/dryer,2,1885
717,13eastrd,1050,weare one bedroom with all utilities included,1,
718,nan,1265,"generous sized pantries, elegant clubroom, hiking and biking trails",1,670
719,"baxterlake,rochester",1300,"lake rentals $1-2k , near rochester-dover-portsmouth-kittery",3,
720,portsmouth,1400,large renovated two bedroom apartment,2,
721,laconia,1255,"in unit washer/dryer, granite, stainless  more at apple ridge",2,984
722,nan,2194,"2 bedroom - stainless-steel appliances, 24-hour fitness center",2,1097
723,lee,740,one floor living at it''s best well kept ranch style home with lots o,2,
724,nan,2195,two bedroom apartment homes available now,2,959
725,nan,1595,spacious studio apartment homes,566ft2,
726,newmarket,1325,"1/2 month free quiet, spacious newmarket with off street parking",2,1250
727,manchester,1455,"must see 2bd, 1bth in ideal location w/heat included  updated kitchen",2,975
728,"melrose,ma.",2400,three bedrooms,3,1000
729,nashua,1750,three bedroom apartment,3,1000
730,milford,2199,new townhouse available for rent this fall check us out,3,1885
731,"7railroadavenue,derry",1429, prep yourself for cold temps  move in soon,2,910
732,landaff,775,one bedroom country apartment,1,
733,"108wmainstreet,merrimac,ma",1849,reserve your new apartment now luxury 55+ active adult community-,2,1071
734,nashua,1425,"amazing value large 2 br, available now",2,1050
735,manchester,1785,#115 - must see - manchester's historic mill west apartments,2,
736,"64merrimackstreet,manchester",879, the grass is always greener at red oak apartments,273ft2,
737,"1400frontstreet,manchester",1425,"regency place, premier 55+ apartments",1,750
738,1850frontstmanchesternh,1850,"regency west, luxury 55+ apartments in manchester",2,1140
739,"3countryclubdrive,manchester",1875,"river's edge , luxury 55+ condos in manchester",2,1470
740,derry,1600,"large 2 to 3 br duplex unit, 5 acres - avail. jan 1",3,1550
741,southstreet,2075,single family house downtown historic exeter,3,
742,laconia,1255,walk in closet for this 2 bedroom/1 ba unit at apple ridge,2,984
743,"86unionstreet,manchester",1559, huge 2 br townhouse in manchester - no security deposit required,2,1200
744,hooksett,1589,"lovely condo for rent  central air, gourmet kitchen, 2br/2ba ",2,1152
745,clintonmaine,1000,medical caregivers,5,
746,nan,1806,"2 bedroom - plank flooring, carports available, adjustable track lighting",2,949
747,manchester,2199,look---- new lower price-----single family house - 5br/,5,1774
748,"180northmainstreet,boscawen",999, quiet country setting - amazing 2 bedroom apartment for rent,2,700
749,salem-you'lllovelivinghere!,1770,salem - brand new  gorgeous balcony -pool -gym -clubhouse -pet spa,1,
750,"oldbrownavenue,manchester",1079,  enjoy free heat - 1 bedroom - no sec. deposit required,1,468
751,nan,1821,"2 bedroom - 24-hour fitness center, high-speed internet access",2,933
752,manchester,1381,apartment prices reduced ,2,985
753,"93weststreet,milford",1099, rent red oak receive the best service central vac,2,716
754,nan,1649,"1 bedroom - fully applianced kitchens, year-round bbq stations",1,739
755,"eastridgedrive,milford",2199, home is where the heart is central heat  air,3,1885
756,"90powersstreet,milford",1189,relax and reside at milford trails: 1 bedroom for rent,1,650
757,manchester,1810,#207 - 2nd floor manchester mill west 2 br apartment,2,
758,lebanon,1785,"public transportation, built in microwave, clubhouse, bike racks",1,697
759,rochester,1387,recently renovated 3-br w/spacious backyard,3,
760,pelham,950,private country setting  heat and hot water included,1,
761,concord/penacook,1035,affordable living with picture perfect views at oak creek,2,820
762,londonderryexit5,2100,4 bedroom duplex,4,1600
763,nan,2410,"state-of-the-art fitness center, spacious closets, wood-style flooring",2,919
764,"20sentinelcourt,manchester",1239, it's a pet friendly apartment in manchester,1,617
765,manchester,1810,"#243 - adorable, historic,  comfy 2 br in manchester's mill west",2,
766,hamptonbeach,329,cozy 2-br cottage w/most utils included,2,
767,hampton,329,cozy 2-br w/d  most utilities included,2,
768,portsmouth,2000,"recently updated 1 br, 1.5 bath w/ parking",,
769,hampton,350,cozy studio newly redone everything included,,
770,hampton,350,"beautiful studio, newly redone, all utils included",,
771,hampton,369,cozy 2-br utils included brand-new granite countertops,2,
772,"80easternavenue,manchester",1299, pet friendly and sunset views  2 bedroom apartment for rent,2,833
773,nan,1250,large 3 bedroom apartment in manchester,3,1400
774,norwayplainscomplex,1195,2 bdrm  heathot water incl. $1195 rochester,2,
775,nan,995,1 bedroom in somersworth  $995 includes heat,1,
776,nan,1595,3 bedroom townhouse in dover $1595+,3,
777,nan,995,$995+ 2bedroom somersworth 600sq ft open concept,2,
